TIENDA;DIRECCION CAMARA Y COMERCIO;CIUDAD/MUNICIPIO;DEPARTAMENTO;BARRIO
CARTAGO COOPERATIVA;CR 3 # 12 - 80 ;CARTAGO;VALLE DEL CAUCA;Centro
CARTAGO TRILLADORA;CL 10 # 10 - 35 ;CARTAGO;VALLE DEL CAUCA;San Nicolas
PER CUBA;CR 27 # 71 - 10 ;PEREIRA;RISARALDA;Cuba
SEVILLA;CRA 51 # 49-61;SEVILLA;VALLE DEL CAUCA;Centro
ZARZAL;CR 10 # 7 - 36;ZARZAL;VALLE DEL CAUCA;Centro
CARTAGO HOSPITAL;CRA 3 No 3-59;CARTAGO;VALLE DEL CAUCA;Collarejo
CARTAGO;CR 7 A# 12 - 73;CARTAGO;VALLE DEL CAUCA;Centro
PER SAN JOAQUIN;CRA 29 No 78-95 LC 1-2-3 Y 4;PEREIRA;RISARALDA;San Joaqu¡n
LA VIRGINIA;CR 5 # 12 A - 9 ;LA VIRGINIA;RISARALDA;Buenos Aires
CARTAGO SANTA ANA;CR 2 # 25 - 75 ;CARTAGO;VALLE DEL CAUCA;Cambulos
VITERBO;Cra 8 #8-55;VITERBO;CALDAS;Centro
ROLDANILLO;CR 4 # 8 - 11 ;ROLDANILLO;VALLE DEL CAUCA;Ipira
LA UNION EJE;CR 13 # 14 - 46 ;LA UNION;VALLE DEL CAUCA;Bel‚n Cabecera Municipal
CARTAGO SAN JERONIMO;TV 7 # 18 - 7A;CARTAGO;VALLE DEL CAUCA;San Jer¢nimo
PER PORTOALEGRE;CR 49 # 85 - 25 ;PEREIRA;RISARALDA;Portoalegre
PER ALTAVISTA;CL 80 # 29 - 16 ;PEREIRA;RISARALDA;Altavista
TORO;CRA 3 NO. 10-78;TORO;VALLE DEL CAUCA;Centro
ANSERMANUEVO;CRA 4 6-  63 BRR CENTRO;ANSERMANUEVO;VALLE DEL CAUCA;Centro
PER LA VILLA;Cra 13 N 87 - 210;PEREIRA;RISARALDA;La Villa 
