TIENDA;DIRECCION CAMARA Y COMERCIO;CIUDAD/MUNICIPIO;DEPARTAMENTO;BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMANGA MESON BUCAROS;AV QUEBRADA SECA # 27 - 65 ;BUCARAMANGA;SANTANDER;San Alonso ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMANGA SAN FRANCISCO;CL 14 # 21 - 65;BUCARAMANGA;SANTANDER;San Francisco ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BUCARAMANGA TRYP;CR 36 # 48 - 65 ;BUCARAMANGA;SANTANDER;Cabecera Llano ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMANGA AURORA;CL 35 # 27 - 1 ;BUCARAMANGA;SANTANDER;Aurora ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PIEDECUESTA SAN RAFA;CL 8 # 12 - 84 ;PIEDECUESTA;SANTANDER;San Rafael ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FLORIDABLA FLOR;CR 27 A # 122 - 57 ;FLORIDABLANCA;SANTANDER;Bosques De Payador ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAN GIL ZONA LIBRE;CR 12 # 18 - 51 ;SAN GIL;SANTANDER; La Sagrada Familia ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GIRON EL LLANITO;CR 29 # 43 - 56 ;GIRON;SANTANDER; Llanito ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAL GIL CENTRO;CR 11 # 10 - 40 ;SAN GIL;SANTANDER;Maria Auxiliadora ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUC PARQUE SANTANDER;AV 5 # 12 - 48 ;CUCUTA;N. DE SANTANDER;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEBRIJA CENTRO;CR 10 # 11 - 25 ;LEBRIJA;SANTANDER; Centro ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SABANA CENTRO;CR 12 # 13 - 50 ;SABANA DE TORRES;SANTANDER; Centro ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMANGA LAS CIGARRAS;AV LOS BUCAROS # 60 -174;BUCARAMANGA;SANTANDER;Las Cigarras ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUCUTA LATINO;AV 2 # 9 - 14 ;CUCUTA;N. DE SANTANDER;LATINO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MSTOS MDO CAMPESINO;LOTE C -12 DEL CONDOMINIO PUEBLITO ACUARELA 2 SEGUNDA VEREDA EL VERDE;LOS SANTOS;SANTANDER;Acuarela ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZAPATOCA;CR 9 # 18 - 3 ;ZAPATOCA;SANTANDER;Centro ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGCHCA EL PROGRESO;CR 14 # 10 - 83;AGUACHICA;CESAR;El Progreso ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMANGA LA ISLA;CL 56 # 17 B - 36 ;BUCARAMANGA;SANTANDER;La Isla ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F BLA CA•AVERAL;CL 30 # 24 - 18 ;FLORIDABLANCA;SANTANDER;Ca§averal ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BBERMEJA EL RETEN;CL 37 # 62 - 89 ;BARRANCABERMEJA;SANTANDER;El Reten ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMANGA ALARCON;CR 19 # 23 - 27;BUCARAMANGA;SANTANDER;Alarcon ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LA UNION;CL 5 # 25 - 22 ;AGUACHICA;CESAR;La Uni¢n ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PASEO DEL PUENTE;CR 6 # 16 - 60 ;PIEDECUESTA;SANTANDER;Paseo Del Puente ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
